醫事機構代碼,診療科別
0932020016,04
0932020016,05
0932020016,81
0932020025,01
0932020025,02
0932020025,03
0932020025,04
0932020025,05
0932020025,06
0932020025,07
0932020025,08
0932020025,09
0932020025,10
0932020025,11
0932020025,12
0932020025,13
0932020025,14
0932020025,16
0932020025,22
0932020025,40
0932020025,81
0932020025,82
0932020025,83
0932020034,01
0932020034,02
0932020034,03
0932020034,06
0932020034,08
0932020034,14
0932020034,81
0932020034,86
0933010014,01
0933010014,13
0933050018,01
0933050018,02
0933050018,03
0933050018,04
0933050018,05
0933050018,06
0933050018,07
0933050018,08
0933050018,09
0933050018,12
0933050018,13
0933050018,14
0933050018,16
0933050018,22
0933050018,40
0933050018,47
0933050018,81
0933050018,86
0933050018,88
0933050036,01
0933050036,02
0933050036,14
0933050036,16
0934060027,13
0935010012,01
0935010012,02
0935010012,03
0935010012,06
0935010012,08
0935010012,14
0935010012,81
0935010021,01
0935010021,13
0935020027,01
0935020027,02
0935020027,03
0935020027,04
0935020027,05
0935020027,06
0935020027,12
0935020027,14
0935020027,22
0935020027,81
0935020027,86
0936030018,01
0936030018,02
0936030018,03
0936030018,04
0936030018,05
0936030018,06
0936030018,07
0936030018,08
0936030018,12
0936030018,13
0936030018,14
0936030018,22
0936030018,81
0936030018,86
0936030018,87
0936050029,00
0936050029,01
0936050029,02
0936050029,03
0936050029,04
0936050029,05
0936050029,06
0936050029,07
0936050029,08
0936050029,09
0936050029,10
0936050029,11
0936050029,12
0936050029,13
0936050029,14
0936050029,15
0936050029,22
0936050029,40
0936050029,49
0936050029,60
0936050029,81
0936050029,82
0936050029,83
0936050029,84
0936060016,00
0936060016,01
0936060016,02
0936060016,03
0936060016,04
0936060016,05
0936060016,06
0936060016,07
0936060016,08
0936060016,09
0936060016,10
0936060016,11
0936060016,12
0936060016,13
0936060016,14
0936060016,15
0936060016,16
0936060016,22
0936060016,40
0936060016,44
0936060016,45
0936060016,46
0936060016,47
0936060016,49
0936060016,50
0936060016,60
0936060016,81
0936060016,84
0936060016,85
0936060016,86
0936060016,87
0937010019,00
0937010019,01
0937010019,02
0937010019,03
0937010019,04
0937010019,05
0937010019,06
0937010019,07
0937010019,08
0937010019,09
0937010019,10
0937010019,11
0937010019,12
0937010019,13
0937010019,14
0937010019,15
0937010019,16
0937010019,22
0937010019,40
0937010019,42
0937010019,43
0937010019,45
0937010019,46
0937010019,47
0937010019,50
0937010019,60
0937010019,81
0937010019,84
0937010019,85
0937010019,86
0937010019,87
0937010019,88
0937030012,01
0937030012,02
0937030012,03
0937030012,06
